Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,126,0,37,76.8955444444954,5.993300001136959,1647.6671999989776,90509.0,2.1191852191806118,0.0,38,61,68,80,140,190,490,580,1600,1600,1600
POST,/api/ai/parse [POST],139,131,32,482.868931654999,5.222800013143569,7527.97520000604,126.79136690647482,2.337831313223056,2.2032798707353978,32,53,67,84,450,5800,7400,7400,7500,7500,7500
GET,/api/checklists,48,0,43,64.91742291685416,10.545400000410154,547.5293999916175,1317.0,0.8073086549259474,0.0,46,57,63,84,140,150,550,550,550,550,550
GET,/api/checklists/1/lock,26,26,2300,2531.3309000009144,9.819400002015755,4928.71059999743,22.0,0.4372921880848881,0.4372921880848881,3800,3800,4400,4800,4900,4900,4900,4900,4900,4900,4900
PUT,/api/doc/{id}/lock [PUT heartbeat],26,26,2200,2551.174842308683,15.557800012174994,4938.643700006651,22.0,0.4372921880848881,0.4372921880848881,3800,3800,4800,4800,4900,4900,4900,4900,4900,4900,4900
GET,/api/events,177,0,60,105.44228305065765,9.439799992833287,1615.6248000042979,11166.723163841807,2.9769506650394306,0.0,60,85,110,120,200,460,540,730,1600,1600,1600
POST,/api/events [POST],609,0,24,52.585133497669375,5.5225999967660755,1629.7293999959948,11.0,10.242728559372956,0.0,24,33,40,48,74,140,240,720,1600,1600,1600
DELETE,/api/events/{id} [DELETE],607,0,58,93.05323327822869,10.796600006869994,1287.045199991553,11.0,10.209090698751043,0.0,58,85,110,130,190,270,450,550,1300,1300,1300
PUT,/api/events/{id} [PUT],609,0,31,49.47193727403427,7.324999998672865,827.8237000049558,11.0,10.242728559372956,0.0,31,44,54,63,96,140,260,310,830,830,830
GET,/api/kanban,177,0,44,114.6800310742623,6.80199998896569,1660.2686999976868,13217.915254237289,2.9769506650394306,0.0,44,69,91,100,180,430,1600,1700,1700,1700,1700
GET,/api/notifications/count,63,0,4700,4494.761898412853,2798.029999990831,5062.154500003089,11.0,1.0595926095903059,0.0,4700,4800,4900,4900,4900,4900,5000,5100,5100,5100,5100
GET,/api/notifications/pending,63,0,4700,4514.243561906615,2797.186399999191,5016.036600005464,2.0,1.0595926095903059,0.0,4700,4800,4900,4900,4900,4900,5000,5000,5000,5000,5000
POST,/api/upload/image [POST],232,232,130,269.70953362057304,29.146600005333312,3306.0020999982953,59.0,3.9019918321420786,3.9019918321420786,130,200,300,370,560,920,1600,2600,3300,3300,3300
GET,/calendar,43,0,54,142.43185348797937,11.426500001107343,1647.7688000013586,107845.0,0.7232140033711612,0.0,54,75,93,97,170,540,1600,1600,1600,1600,1600
GET,/check,173,0,58,109.53226647403015,9.082700009457767,1646.7124999908265,180457.0,2.909674943795602,0.0,58,75,87,110,180,520,670,1600,1600,1600,1600
GET,/project-manage,112,0,41,74.28795089215002,8.229600003687665,559.3474000052083,163823.0,1.8837201948272104,0.0,41,63,93,110,140,290,490,520,560,560,560
GET,/trash,137,0,41,121.23660511032587,7.317299998248927,1651.3373000052525,103593.0,2.304193452601141,0.0,41,70,84,100,180,600,1600,1600,1700,1700,1700
GET,[warmup] cookie check,50,0,2700,2820.467727999494,2620.8559999940917,3220.556599990232,163823.0,0.8409465155478618,0.0,2700,3000,3000,3000,3200,3200,3200,3200,3200,3200,3200
,Aggregated,3417,415,44,348.5025412350527,5.222800013143569,7527.97520000604,27048.505706760316,57.47028487254087,6.979856079047253,44,71,100,130,420,3000,4800,4900,6800,7500,7500
