Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,86,0,32,108.90262674484104,10.466400010045618,1726.4305999997305,90509.0,1.453456277636173,0.0,35,48,65,75,100,300,1700,1700,1700,1700,1700
POST,/api/ai/parse [POST],75,69,12,732.8438239992829,5.182899985811673,18816.955899994355,128.36,1.267549079333872,1.166145152987162,12,19,33,48,150,6800,7100,19000,19000,19000,19000
GET,/api/checklists,31,0,30,77.25488064498941,9.43350000306964,578.3700000029057,1317.0,0.523920286124667,0.0,30,55,76,82,110,570,580,580,580,580,580
GET,/api/checklists/1/lock,26,26,2200,2995.6770884634284,21.09000000928063,5397.596299997531,22.0,0.4394170141690756,0.4394170141690756,3000,3700,4600,4600,5400,5400,5400,5400,5400,5400,5400
PUT,/api/doc/{id}/lock [PUT heartbeat],26,26,2400,2887.3307653853913,8.943400011048652,5393.426499998895,22.0,0.4394170141690756,0.4394170141690756,3000,3700,3700,4600,5400,5400,5400,5400,5400,5400,5400
GET,/api/events,124,0,41,114.37702661315862,9.044800011906773,1729.7459999972489,11928.41935483871,2.095681144498668,0.0,41,61,85,99,160,590,1500,1700,1700,1700,1700
POST,/api/events [POST],417,0,18,51.780840767413764,5.858799995621666,1687.0902000082424,11.0,7.047572881096328,0.0,18,25,31,38,57,110,370,1100,1700,1700,1700
DELETE,/api/events/{id} [DELETE],404,0,2100,2254.9997475252535,2049.94219999935,5326.614099991275,11.0,6.8278643740117895,0.0,2100,2100,2100,2100,2200,3500,5000,5000,5300,5300,5300
PUT,/api/events/{id} [PUT],417,417,24,45.9059273385933,8.29540000995621,1119.64910000097,21.0,7.047572881096328,7.047572881096328,24,32,39,44,66,120,230,770,1100,1100,1100
GET,/api/kanban,131,0,19,77.94087175588668,6.8940000055590644,1724.2514999961713,14478.412213740457,2.2139857252364963,0.0,19,30,41,51,88,140,1700,1700,1700,1700,1700
GET,/api/notifications/count,63,0,5200,4843.705309523752,2969.4664999988163,5488.171900011366,11.0,1.0647412266404523,0.0,5200,5300,5300,5300,5400,5500,5500,5500,5500,5500,5500
GET,/api/notifications/pending,63,0,5200,4815.9558158725895,2972.144900006242,5495.979499988607,2.0,1.0647412266404523,0.0,5200,5300,5300,5400,5400,5500,5500,5500,5500,5500,5500
POST,/api/upload/image [POST],154,154,79,193.38970194746855,27.78540000144858,3254.6544000069844,59.0,2.6027007762322167,2.6027007762322167,80,110,140,160,230,650,1600,3200,3300,3300,3300
GET,/calendar,39,0,17,63.85747435837029,9.816300007514656,625.5923999997322,107845.0,0.6591255212536133,0.0,17,30,39,51,120,570,630,630,630,630,630
GET,/check,121,0,34,99.85551652969977,7.497099999454804,1700.2899999934016,180457.0,2.044979181325313,0.0,34,46,57,68,240,600,620,880,1700,1700,1700
GET,/project-manage,80,0,23,100.66340124976705,8.763099991483614,1708.265900000697,163823.0,1.3520523512894633,0.0,24,40,51,64,120,560,1700,1700,1700,1700,1700
GET,/trash,93,0,34,111.97434946245599,9.057899995241314,1724.9836999981198,103593.0,1.571760858374001,0.0,34,48,52,62,110,600,1700,1700,1700,1700,1700
GET,[warmup] cookie check,50,0,3000,2984.4800160004525,2715.3370000014547,3336.7378000111785,163823.0,0.8450327195559146,0.0,3000,3000,3000,3300,3300,3300,3300,3300,3300,3300,3300
,Aggregated,2400,692,42,840.1810897502043,5.182899985811673,18816.955899994355,28421.355,40.5615705386839,11.695252838653857,42,110,2100,2100,2300,4600,5300,5400,7000,19000,19000
