Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4,0,4.093800002010539,4.737625000416301,4.093800002010539,6.108599991421215,90871.0,0.06918339335899273,0.0,5,5,6,6,6,6,6,6,6,6,6
GET,/api/events,4,0,5,18.137075003323844,4.447900006198324,54.789900008472614,3793.0,0.06918339335899273,0.0,8,8,55,55,55,55,55,55,55,55,55
POST,/api/events [POST],11,0,7,7.307336362745528,5.122499991557561,9.526900001219474,10.0,0.19025433173723,0.0,7,8,8,8,8,10,10,10,10,10,10
DELETE,/api/events/{id} [DELETE],10,0,2094.618299990543,2067.709269998886,2054.252700007055,2094.618299990543,11.0,0.17295848339748182,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
PUT,/api/events/{id} [PUT],11,11,5,5.924481820495037,3.808900000876747,13.535499994759448,21.0,0.19025433173723,0.19025433173723,5,6,6,6,8,14,14,14,14,14,14
GET,/api/kanban,1,0,4.449499989277683,4.449499989277683,4.449499989277683,4.449499989277683,4136.0,0.017295848339748184,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/api/notifications/count,1,0,2082.956099999137,2082.956099999137,2082.956099999137,2082.956099999137,11.0,0.017295848339748184,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/api/notifications/pending,1,0,2083.249600007548,2083.249600007548,2083.249600007548,2083.249600007548,2.0,0.017295848339748184,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
POST,/api/upload/image [POST],4,4,4.010799995739944,4.753850000270177,4.010799995739944,6.1674000025959685,59.0,0.06918339335899273,0.06918339335899273,5,5,6,6,6,6,6,6,6,6,6
GET,/check,1,0,5.1099999982398,5.1099999982398,5.1099999982398,5.1099999982398,181520.0,0.017295848339748184,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/project-manage,2,0,5,6.3309000033768825,4.902200002106838,7.759600004646927,164189.0,0.03459169667949637,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/trash,1,0,4.59219999902416,4.59219999902416,4.59219999902416,4.59219999902416,103953.0,0.017295848339748184,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,[warmup] cookie check,1,0,2080.6794999953127,2080.6794999953127,2080.6794999953127,2080.6794999953127,164189.0,0.017295848339748184,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
,Aggregated,52,15,6,523.2087615387662,3.808900000876747,2094.618299990543,22337.153846153848,0.8993841136669055,0.2594377250962227,7,8,2100,2100,2100,2100,2100,2100,2100,2100,2100
