Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1,0,9.619899996323511,9.619899996323511,9.619899996323511,9.619899996323511,90871.0,0.038182842540636565,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/events,2,0,6,6.911099997523706,5.768000002717599,8.054199992329814,3247.0,0.07636568508127313,0.0,8,8,8,8,8,8,8,8,8,8,8
POST,/api/events [POST],3,0,9,8.771533330824846,7.823899999493733,9.75549999566283,10.0,0.11454852762190969,0.0,9,9,10,10,10,10,10,10,10,10,10
DELETE,/api/events/{id} [DELETE],3,0,2092.8642000071704,2076.98176666842,2068.9146000077017,2092.8642000071704,11.0,0.11454852762190969,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
PUT,/api/events/{id} [PUT],3,3,11,12.071933330541166,7.224200002383441,18.090799989295192,21.0,0.11454852762190969,0.11454852762190969,11,11,18,18,18,18,18,18,18,18,18
GET,/api/kanban,2,0,6,5.954050000582356,5.652499996358529,6.255600004806183,3462.0,0.07636568508127313,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/notifications/count,1,0,2082.8630000032717,2082.8630000032717,2082.8630000032717,2082.8630000032717,11.0,0.038182842540636565,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/api/notifications/pending,1,0,2082.893900005729,2082.893900005729,2082.893900005729,2082.893900005729,2.0,0.038182842540636565,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
POST,/api/upload/image [POST],2,2,6.3750000117579475,72.02080000570277,6.3750000117579475,137.6665999996476,59.0,0.07636568508127313,0.07636568508127313,140,140,140,140,140,140,140,140,140,140,140
GET,/check,1,0,19.48850000917446,19.48850000917446,19.48850000917446,19.48850000917446,181520.0,0.038182842540636565,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/project-manage,1,0,5.674800006090663,5.674800006090663,5.674800006090663,5.674800006090663,164189.0,0.038182842540636565,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/trash,2,0,6.182700002682395,7.9423000061069615,6.182700002682395,9.701900009531528,103953.0,0.07636568508127313,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,[warmup] cookie check,1,0,2109.5682000013767,2109.5682000013767,2109.5682000013767,2109.5682000013767,164189.0,0.038182842540636565,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
,Aggregated,23,5,10,556.0539347839633,5.652499996358529,2109.5682000013767,35754.34782608696,0.878205378434641,0.19091421270318282,10,19,2100,2100,2100,2100,2100,2100,2100,2100,2100
